first_name,last_name,date_of_birth,weight
Nap,Jacquemy,2020-05-26,18.84
Casandra,Velasquez,2016-07-05,75.36
Lilith,Breton,2003-09-15,38.74
Blinnie,Rasch,2016-04-16,84.1
Adriana,Feldstein,2014-04-29,76.75
Amerigo,Curr,2000-08-05,8.85
Nicky,Anelay,2020-09-19,91.99
Donavon,Batha,1981-06-16,33.88
Marlin,Etteridge,2004-12-09,72.25
Feliks,Jakoubek,2016-11-08,54.3
Harv,Child,1990-04-07,13.68
Patrice,Cane,2008-10-24,33.8
Mano,Poulett,1984-11-29,30.56
Ethelbert,Sparsholt,2010-06-12,38.54
Raimondo,Bouttell,1983-03-31,62.12
Sonya,Keyho,2017-02-09,68.62
Zorine,Buckham,2016-06-14,80.68
Giuditta,Verry,2014-08-20,85.17
Yancy,Spalls,2005-04-01,69.92
Enrichetta,Magson,2009-05-19,73.84
Rosalia,Turville,1989-11-26,32.61
Deena,Suffield,2017-08-06,87.63
Tybi,Kieran,1985-11-26,16.65
Vergil,Versey,1997-01-17,43.11
Andrew,Bevan,1988-05-07,97.86
Marley,Tippin,2006-05-08,95.07
Denver,Locarno,1986-12-16,75.04
Hayward,MacCurley,2005-01-27,28.07
Ilysa,Lemary,2013-05-04,47.82
Ashby,Skoughman,2012-11-23,61.08
Garret,Pottle,2003-11-17,69.96
Joellen,Stennings,2009-03-16,23.94
Arabela,Sackey,2012-10-14,22.2
Herschel,Gale,2000-11-10,21.27
Ally,Bleiman,2007-01-23,48.67
Benn,Gopsell,2005-09-07,55.53
Brana,Tather,2007-04-19,99.04
Silvie,Whitehorne,2007-10-26,66.78
Aloysia,Jordin,1993-11-06,5.99
Huntley,Camber,2006-01-13,79.57
Niccolo,Lenton,2017-11-23,24.59
Lynnea,Nineham,2010-12-22,60.77
Thom,Potell,1994-08-13,65.65
Penny,Edmundson,2005-09-26,89.13
Anitra,Aslam,2004-02-08,33.75
Erminia,Corradi,1991-04-10,92.78
Sterling,Sutterfield,1982-02-17,83.97
Elizabet,Eckels,2006-07-18,12.5
Lyda,Pierrepoint,1998-04-14,38.4
Margalit,Bill,2002-01-19,30.4
Gilberta,Jerratsch,2010-11-21,71.35
Allegra,Waggatt,2007-12-21,55.72
Rozalie,Ribbon,1994-11-30,80.54
Sherill,Haslehurst,2004-08-25,45.88
Clerkclaude,Brockie,2005-09-10,61.95
Vinny,Roakes,2005-12-14,1.22
Vally,Zavattieri,2006-09-20,84.26
Patten,Josephs,1990-05-04,46.31
Renee,Bottrill,2022-08-17,66.29
Bern,O'Drought,2011-04-01,94.13
Eb,Gorusso,1991-06-24,49.77
Eve,Morican,1983-03-25,32.71
Jeanelle,Nairne,1989-01-01,47.66
Harry,Posse,1980-04-16,50.39
Marlene,Probet,1991-06-24,67.16
Nevile,Souness,2012-08-27,71.88
Lorry,Brownsill,1999-04-05,55.67
Dillon,MacMurray,1981-06-14,29.38
Adrien,Pharoah,2003-06-16,1.87
Danny,Elcott,2013-11-05,70.96
Nellie,Cicco,1981-03-10,41.61
Berny,Witheridge,1982-07-22,87.1
Elysha,Mogie,1996-12-27,98.28
Onida,Ruddlesden,1999-09-04,92.89
Neddy,Alessandrini,2003-05-13,39.01
Rubi,Corzon,1983-10-11,27.27
Dilly,Sarver,1999-11-30,59.28
Rodolph,Lindenboim,2002-09-15,42.06
Kylynn,Chastan,2004-09-16,45.05
Wakefield,Olenikov,1986-03-26,68.01
Mellicent,Scroggins,2003-01-14,94.91
Zandra,Yarrington,1997-01-25,98.95
Glen,Storrie,1996-05-18,80.49
Serge,Grayshan,2018-02-16,1.8
Silvano,Wrotchford,2006-06-12,1.51
Whit,Malthouse,1992-04-24,14.1
Anette,Dredge,2018-03-12,6.49
Ken,Hourston,2000-03-11,51.03
Giordano,Ollerearnshaw,2012-05-25,40.77
Faustina,Benley,1988-05-17,13.55
Gerta,Chewter,2006-02-13,10.77
Duky,Pearlman,2019-06-22,90.36
Nita,Tibb,1993-12-04,22.2
Ban,Rossbrook,1986-12-04,22.5
Jourdan,Dolan,2013-08-14,99.25
Neilla,Cade,2012-03-11,67.55
Merle,Gilardone,2021-12-29,92.76
Ruthe,Belfelt,2008-12-01,54.73
Lazare,Bernaciak,2020-05-31,77.15
Ferdie,Andriolli,1984-11-17,34.64
Shir,Simeoli,2000-04-20,49.31
Phil,Mounce,1988-05-23,18.18
Kristos,Cowdray,1987-06-14,30.92
Cortney,Leader,2011-01-31,86.16
Cortney,Coughlin,2007-10-20,95.22
Samuele,Ricart,2007-01-05,67.16
Joanne,Cruwys,2000-09-03,35.43
Maddalena,Gonnel,1983-08-19,44.79
Raynor,Bounds,2008-02-17,60.59
Dasi,Reidie,2006-01-25,40.14
Harlene,Castanos,1991-09-20,66.69
Anson,Champion,2015-12-19,55.43
Jane,Nesfield,2016-08-12,15.15
Katie,Sawdon,2014-08-05,82.8
Anny,Plank,2014-07-01,78.49
Ashia,Antat,2012-04-09,34.93
Gav,McTrustrie,2020-11-20,88.65
Ariela,Sciusscietto,2001-03-02,84.78
Vasilis,Schleswig-Holstein,1992-06-15,84.27
Eleonore,Gillbard,1987-05-12,6.46
Katerine,Cadogan,1984-05-21,87.63
Shayne,Hawthorn,2001-10-04,87.35
Frasquito,Peakman,1988-02-02,86.64
Harley,Thumim,2009-04-29,50.68
Nevins,Lote,1995-10-04,38.67
Ruth,Bairstow,2019-08-09,15.34
Niko,Huxley,2006-01-02,51.92
Lettie,Vollam,2022-02-19,61.06
Lorrie,Cardenas,2000-08-23,45.48
Darin,Samwell,1994-01-26,14.98
Clark,Simpkiss,2009-05-23,72.21
Morley,Canlin,2007-06-09,53.28
Michal,Beekmann,2010-09-07,51.3
Francyne,Leon,2002-09-03,84.84
Tammy,Ucchino,1993-10-14,49.57
Rodrique,Cicerone,2009-09-28,92.01
Juliet,Maynard,1986-10-09,10.93
Terry,Ventom,1998-01-27,49.05
Cissiee,Cabotto,2001-03-16,1.0
Tam,Thredder,2006-11-26,47.83
Field,Pieters,2018-02-23,91.22
Riannon,Grafhom,2016-12-17,47.37
Belva,De Vile,2001-05-26,3.43
Esdras,Cotterell,2020-03-16,9.3
Rustin,Bogart,2008-04-02,77.76
Ferrel,Sawer,1998-08-29,43.41
Evangeline,Gwyllt,2022-06-26,4.3
Madelle,Feldbaum,2000-08-01,42.76
Lexine,Kynoch,2016-11-06,75.87
Levon,Winram,2017-10-26,65.99
Yovonnda,Calveley,1999-01-13,10.76
Harry,Branton,1996-01-02,56.29
Elston,Breissan,2010-07-02,94.91
Dionne,Kardos-Stowe,2022-03-30,30.15
Miguelita,Watkiss,1984-08-26,16.99
Niall,Merrison,1993-03-06,53.96
Rosa,Borrow,2007-07-27,76.35
Milt,Riggoll,1999-03-07,80.61
Arielle,Marcq,2009-12-07,48.35
Faber,Rous,2019-05-07,96.97
Claudie,Bydaway,2014-08-18,65.75
Roley,Strete,2018-03-09,56.59
Ragnar,Trew,1999-02-24,91.29
Patrice,Melloy,1990-09-19,17.51
Brittan,Burnsell,2021-03-01,54.04
Margette,Squirrel,1988-07-23,94.95
Nathanil,Easton,2009-02-09,24.5
Madalena,Obee,2005-01-04,32.45
Burk,Fleg,1998-04-11,27.34
Philomena,Fessby,1996-09-26,78.08
Jamie,Beedham,2000-10-25,47.81
Amandi,Semarke,2010-01-04,2.08
Hugo,Daly,1985-11-26,38.24
Wilhelm,Sonner,2014-07-31,25.09
Halie,Cersey,1997-07-22,16.04
Karel,Alderwick,1986-04-07,4.76
Gussie,Creigan,1985-07-31,90.66
Elena,Matchell,1989-12-03,41.62
Rori,Hyndes,2017-10-03,17.22
Lee,Ertelt,1987-05-27,52.76
Maiga,Ghelardoni,2023-01-05,22.76
Clementina,Pruckner,2012-08-19,51.49
Brynn,Cuolahan,2021-07-13,35.64
Ansel,Olifaunt,1994-09-14,29.14
Ellie,Gallamore,2022-02-06,4.82
Elga,Watsam,2010-02-08,80.48
Roderick,Buckell,1991-07-14,53.1
Leupold,Ketteman,1988-09-04,40.38
Lay,Stanning,2012-10-11,61.69
Agnesse,Whiteley,1983-08-12,91.26
Merrili,Youngman,2010-07-26,51.86
Jess,Allinson,1988-07-22,87.67
Natividad,Tillerton,1986-07-12,7.96
Eddy,Howsin,2004-06-15,35.33
Maryellen,Bucham,2013-01-28,77.51
Kayle,Slowgrave,2011-10-06,19.79
Lorenzo,Colthard,2009-03-06,63.22
Waylon,Osgodby,2000-12-29,81.3
Teddi,Maddin,1997-09-02,29.34
Wileen,Fazackerley,2019-01-24,95.52
Rhodie,Jervoise,1984-04-03,30.19
Teodoor,Doggart,2018-04-18,7.32
Cordelia,Behnke,2003-11-25,70.33
Brewster,Torritti,2018-02-19,3.82
Sibbie,Kneal,2002-07-05,6.18
Ninette,Le Surf,2007-09-05,73.28
Tann,Ellingham,1992-11-10,35.0
Wilmer,Downe,1985-03-14,34.25
Naomi,McManamen,2020-12-30,13.56
Adriane,Adamson,1987-11-09,80.46
Verena,Joncic,1985-02-18,67.93
Kiel,McInnes,2000-05-21,85.37
Crichton,Kayley,2001-06-14,54.15
Eda,Durrant,1998-08-24,79.53
Alford,Wedderburn,2022-11-24,54.22
Beck,Topling,2020-11-01,26.09
Gusti,Riley,2017-01-30,51.02
Imogen,Brockelsby,2012-07-16,28.61
Melva,Matcham,1986-12-06,84.45
Murry,Asche,2015-02-18,3.4
Lelah,Valadez,1987-11-29,34.71
Stefa,Richie,2001-11-28,96.81
Petronia,Betun,1999-04-27,44.65
Sande,Boerderman,2002-05-21,9.72
Maynard,Krzyzanowski,2016-04-14,12.87
Korie,Dronsfield,2009-10-12,43.94
Nealson,Peddowe,2008-06-21,64.08
Marley,Rosling,1980-05-02,22.01
Mariele,Ackery,2012-10-18,47.84
Daron,Lines,2016-11-04,15.01
Dani,Yourell,1989-05-11,60.99
Doris,Crush,2010-05-29,5.88
Aarika,Smails,1983-05-05,38.09
Lucian,Brantl,1991-07-18,34.21
Amye,McCook,1997-08-18,88.28
Hedda,Channing,1980-05-25,9.32
Flor,Crighten,1987-04-21,55.76
Jaymee,Hellen,1997-09-07,28.38
Park,Jinkins,1986-07-26,36.1
Marquita,Prickett,2014-03-02,26.42
Celina,Gambie,2010-03-28,69.8
Jemimah,Gush,1982-04-13,10.08
Gabrielle,Simakov,1985-10-20,16.08
Casper,Hurlston,2013-07-16,53.25
Avictor,Bilbrook,1983-09-22,4.09
Nils,Harlow,1985-04-30,3.81
Bertina,Lappine,1997-05-04,59.75
Nobie,Stollen,1983-03-25,75.33
Wang,Vasyunichev,2022-05-16,34.57
Emmalynn,Zammett,1993-07-09,84.68
Daren,Knowlden,2006-09-16,96.64
Dilan,Kettell,1993-09-18,78.34
Burgess,Versey,1999-09-12,73.69
Caria,Cowwell,1999-11-19,13.0
Farleigh,Whisson,2017-09-07,44.72
Adelaide,Moughtin,1998-01-26,23.34
Pietra,Ewbanche,2022-03-26,77.59
Johnette,Attewill,1999-07-29,61.07
Levy,Lamzed,1984-07-18,38.45
Toby,Prator,1989-05-18,26.5
Lorrie,Kilgour,2016-03-04,46.15
Gusta,de Savery,1996-03-07,24.33
Linoel,de Pinna,1983-08-13,73.04
Fifine,Tilliard,1997-07-13,91.63
Joan,Feehily,1984-10-14,41.03
Gussie,Gariff,2022-06-08,77.08
Arvin,Tesyro,2019-05-11,47.54
Elmore,Stutard,2012-09-17,82.38
Pat,McGuire,2007-09-01,72.73
Lenna,Delhay,1996-03-06,33.51
Elden,Cogswell,1989-12-08,19.03
Tessa,Michal,1992-03-09,77.57
Jaclin,Sells,2017-12-24,33.05
Silvester,Roisen,2012-01-28,91.7
Robinette,Cloke,2004-11-30,59.73
Gaston,Halfhide,1989-10-10,91.89
Emmi,Knowller,2006-02-23,39.83
Rosina,Eggar,2014-03-07,83.26
Bertram,Reffe,1987-03-01,10.16
Josee,Alloway,2001-07-30,90.67
Mona,Pipkin,2006-11-15,75.71
Jarrad,Ruckledge,2010-12-19,77.96
Derrek,Sarfati,2007-04-07,43.12
Ludovika,Roskilly,1985-09-02,98.12
Gherardo,Edmands,2004-03-07,86.51
Lari,Carnew,2003-03-24,23.93
Roana,Langer,1995-09-28,5.71
Gerry,Semkins,2015-03-22,95.36
Torrin,Ilsley,2018-12-05,88.21
Maddy,Ferronier,1986-03-23,44.03
Franni,Dodson,2011-01-19,64.86
Etti,Duffit,1992-12-16,25.66
Tammi,Briat,1995-11-15,86.73
Karolina,Stanning,1980-12-12,70.18
Boris,Sheere,1985-01-02,7.47
Benton,Hand,2014-03-02,44.74
Clayborne,Lillford,1996-11-11,58.31
Marco,Antcliffe,2005-10-11,41.79
Krispin,Fancutt,1983-03-27,75.22
Spencer,Polon,1986-07-21,40.74
Jorrie,Lunge,2021-03-02,18.49
Marley,Redferne,2007-01-31,4.8
Electra,Wroth,1994-10-31,98.18
Constantino,Ortiga,2015-03-20,29.39
Burg,Armatidge,2011-06-06,83.17
Lorry,Bresnahan,2020-01-28,98.95
Monro,Ommundsen,1980-05-18,71.2
Bendix,Jennaway,2007-01-14,76.29
Maris,Westell,2003-09-23,20.96
Edgar,Itzkovwitch,2021-06-28,43.84
Odelia,Rays,1999-09-29,94.1
Dougie,Mynard,2017-05-11,87.76
Mack,Belamy,1981-04-05,8.73
Farris,Wince,1999-11-24,69.47
Charita,Skeech,1992-05-12,66.71
Vania,Longo,1989-10-25,69.33
Avril,Brooksbank,1986-05-23,23.99
Arri,Iacoviello,2000-05-20,49.41
Jerrine,Huthart,2013-08-14,88.36
Aveline,Killeen,2005-07-25,13.77
Max,Wenham,1985-11-08,28.69
Mariette,Rigge,1986-08-18,46.86
Zared,Varnals,2009-03-30,99.98
Sidonnie,Bramham,1996-03-20,1.18
Suzann,Clampton,1999-02-26,20.2
Trudey,Todman,2003-04-17,46.97
Miguela,Marrian,2014-09-16,12.48
Carlie,Parnby,1998-08-09,72.52
Nikolaus,Chasier,2004-10-03,86.69
Britt,McCanny,1986-01-31,21.2
Massimo,Harbar,2019-07-22,79.8
Lesley,Belvard,1987-07-02,47.0
Chic,Curds,1999-10-23,66.07
Parrnell,Langton,2019-08-29,63.89
Cassandre,Effnert,1988-06-23,87.65
Marna,Mitkcov,2020-10-07,52.86
Richmound,Eccleston,2017-03-06,12.46
Aaron,L' Anglois,2003-03-12,54.91
Delly,Tadlow,2010-03-28,26.08
Alexina,Licari,2000-07-30,67.57
Poppy,Mityushin,1988-08-23,50.31
Sharlene,Stoak,1992-03-26,68.59
Oralie,Entres,1990-06-13,94.16
Waldo,Tunniclisse,2003-04-13,14.28
Noell,Petrillo,2003-08-19,15.69
Kati,Blackway,2009-02-22,4.0
Angeli,Toxell,1996-09-06,24.92
Worden,Hebblethwaite,2022-10-10,1.55
Odelia,Fuente,2004-12-16,51.19
Lancelot,Weiser,2017-06-19,99.46
Serge,Axtens,1982-07-05,4.98
Elissa,Seacombe,2014-11-18,57.73
Beulah,Waadenburg,2012-09-16,13.75
Hesther,Karel,1988-10-06,53.49
Bil,Hearsey,2003-04-16,96.14
Federica,Erskin,1981-07-06,12.06
Tallie,Batrick,2006-06-29,33.42
Ode,Beaney,1999-09-18,41.15
Chickie,Jennrich,1991-01-22,96.25
Corbet,Walls,2002-06-09,50.64
Alastair,Dewey,1987-03-14,36.49
Faustine,Cumberbatch,2001-12-01,27.12
Augusta,Roache,2016-02-12,64.65
Tully,Cudworth,1996-07-31,99.72
Malia,Cuvley,2001-08-04,86.14
Charmane,Filipiak,2020-07-05,5.57
Billi,Howels,1984-10-12,9.82
Ofella,McGeraghty,1984-07-16,85.93
Moise,Giovanni,2003-08-28,23.24
Eliot,Vigietti,2013-11-12,9.02
Marla,Tourry,2007-07-19,95.76
Lars,McKeever,1993-01-17,20.24
Dale,Greenway,2013-05-02,83.01
Marilee,Abad,1987-12-08,95.82
Morna,Walburn,1997-03-22,96.1
Hillary,Landeg,2004-12-01,55.48
Nannette,Deakins,1994-09-19,34.02
Cheri,Baelde,1998-12-15,68.41
Kerrin,Castillo,1992-10-05,70.07
Aleta,Reaper,2012-08-07,75.99
Thebault,Okker,1980-12-04,54.85
Letti,Jeannon,1980-06-12,25.83
Chlo,Yeulet,2000-09-14,7.9
Kenny,Cicchitello,2022-06-01,1.24
Munmro,Birchill,1997-11-16,6.56
Brandice,Labdon,1990-01-01,90.17
Walther,Birtwhistle,1993-04-23,6.6
Guenna,Ferrieres,1987-01-25,41.14
Clarita,Letford,2021-11-17,92.51
Chastity,Santoro,2005-12-25,96.94
Rey,Gemeau,2002-10-26,78.72
Tania,Swindell,2002-10-24,89.75
Garwood,Tattershaw,2013-07-03,81.18
Ingra,De Cleen,1988-06-08,77.97
Clim,Hanway,2018-12-05,26.1
Alie,Sills,1996-04-10,30.8
Astrix,Glasbey,1983-01-13,99.94
Bartolemo,Thome,1987-06-16,62.88
Davidde,Gouly,1994-03-31,45.34
Lynde,Finkle,1997-06-15,3.13
Trumann,Connechy,1985-10-29,85.81
Warde,Bennit,2002-11-30,53.99
Jordanna,Lamborn,1986-03-07,75.16
Saul,Craise,1987-03-30,20.35
Woodman,Hampshaw,2006-07-10,59.62
Halsey,Ledur,2008-12-22,33.29
Luci,Guiton,1982-10-12,60.48
Briny,Showering,2009-12-17,91.41
Isak,Wonfor,2013-09-15,64.8
Wallie,Oller,2007-02-11,95.33
Norby,Godney,1987-05-28,73.84
Humphrey,Wyatt,2021-06-10,60.17
Huberto,Ramble,2002-06-25,93.04
Ami,Quincey,2000-06-16,32.97
Jarrid,Brunker,2012-03-02,59.08
Marjie,Parkisson,2015-11-20,61.27
Cindy,Raddin,2011-08-03,56.79
Glennis,Sutehall,2013-11-18,82.27
Lezlie,Jovanovic,2009-01-05,63.26
Brett,Broxis,2014-04-29,33.01
Erek,Getcliffe,1996-02-16,88.83
Garold,Swinburn,2016-07-17,94.4
Hadrian,Hatt,1981-03-20,69.08
Addy,Pollastrone,1989-04-21,31.34
Martguerita,Aronowicz,1991-01-22,16.4
Jamie,O'Sullivan,1985-12-15,2.33
Georgeanne,Harefoot,2014-06-02,42.8
Lura,Busch,2020-04-28,34.66
Gwendolen,Widmoor,2000-08-13,5.57
Kele,Purdom,1999-06-17,6.43
