first_name,last_name,date_of_birth,weight
Giraldo,Roon,2012-03-07,92.71
Wilt,Extill,1997-05-18,47.47
Alexi,Macrow,1971-03-21,94.29
Adelaida,Pick,2011-04-26,85.42
Craig,Dory,1979-01-02,22.25
Billi,Piperley,1977-09-22,27.08
Astra,Maffini,1986-01-19,73.96
Sibella,Simeone,1986-09-21,57.45
Deloria,Burgan,1979-10-10,14.14
Ediva,Denerley,2022-07-18,14.63
Kalila,Godsal,1976-12-29,17.45
Kayla,Jemison,1975-01-26,94.75
Jeannine,Eastway,2018-09-22,24.69
Seumas,Dedenham,1997-05-23,69.0
Joella,Shalloo,1998-01-21,29.12
Davine,Anderbrugge,1981-12-07,50.56
Lisa,Bellefant,2021-03-30,9.2
Linda,Shirland,1999-04-08,44.28
Gwyn,Dripps,2007-01-18,2.35
Hadley,Ritter,1983-07-15,11.1
Sula,Dmitrienko,1991-08-14,89.47
Obadias,Spencley,1971-04-15,70.56
Elaina,Stallibrass,2018-12-20,35.97
Amabelle,Lyard,2013-10-14,85.16
Maxwell,Shotbolt,1987-03-17,94.06
Carla,Medlen,2010-08-12,76.53
Missie,Crofts,1978-04-07,14.73
Meredith,Yakushkin,2018-06-17,39.39
Tobie,Hussell,1972-12-07,6.33
Bertie,Swindley,1992-09-24,72.23
Austen,Rolin,1989-02-20,20.44
Roseline,Bordessa,1986-07-22,35.46
Corrie,Fogden,1970-06-11,65.95
Halsy,Wagerfield,1988-06-25,83.59
Quillan,Lenormand,1996-09-29,47.12
Cyril,Stocken,1990-05-02,81.45
Owen,Lightbowne,1989-07-31,66.3
Marthe,Alison,1993-05-27,1.45
Lisbeth,Fieldsend,2021-04-13,88.17
Ambur,Hentzer,1999-05-01,32.33
Eal,Fryer,1990-10-08,48.85
Xever,Levings,1986-08-29,28.09
Faustina,Arcase,1985-05-04,76.6
Quinn,Gronowe,1991-04-27,54.97
Isobel,Havile,2017-11-26,95.81
Gregory,Spinello,2020-04-21,60.74
Ulrica,Gooddie,2007-06-07,34.36
Dalston,Carlett,2005-04-01,51.7
Lil,Dionisi,2017-04-14,69.14
Mitchell,Jablonski,2011-02-20,70.86
Binnie,Lude,2015-11-23,75.04
Lukas,Wildbore,2010-08-29,57.11
Yank,Shirer,2014-08-16,45.15
Gillian,Scamp,2002-10-15,3.23
Claus,Gimbrett,1994-12-05,74.3
Lotti,Gors,1983-03-30,62.87
Britta,Furman,1984-08-22,7.31
Lilla,Cuthbert,1972-08-22,43.98
Marla,Prantl,1994-02-18,38.99
Gracia,Zamudio,1985-12-25,50.56
Franchot,Walhedd,1994-10-07,37.43
Farrah,Kunath,2005-08-01,66.54
Albert,Foker,1976-06-06,36.38
Haydon,Kingswood,2007-02-18,78.06
Kaspar,Eacott,2017-04-23,80.51
Wylie,Whye,1978-08-30,9.61
Lurleen,Di Boldi,1997-03-09,83.41
Domenico,Chew,2006-01-03,51.52
Kareem,Edmonstone,1995-09-18,55.29
Amberly,McArt,1977-12-23,76.01
Piper,Primrose,2019-10-05,87.82
Gwenneth,Kerr,2015-06-02,22.52
Lilli,Arthy,1971-04-09,39.73
Chanda,Reglar,2011-12-19,10.35
Barbaraanne,Donizeau,2014-12-24,57.68
Mac,Siss,1970-05-13,24.46
Chip,Calow,1980-03-21,32.01
Carroll,Sayer,2002-03-09,73.74
Tiffy,Flower,2013-07-02,82.23
Nanon,Katt,1974-05-12,45.38
Audre,Mulhall,2014-11-22,7.94
Eugen,Roussell,1996-06-29,15.88
Paten,Tille,2018-03-07,60.81
Randie,Delgardillo,2019-04-15,85.97
Rosalinda,Tremayle,2020-06-24,12.7
Cecile,Duffy,2016-06-15,99.3
Candace,Berthel,1978-08-09,20.48
Lucille,Hymas,1999-04-10,97.87
Candide,Denkin,1997-01-01,98.85
Darline,Simants,2011-04-27,45.16
Ronny,Romera,1997-09-09,36.44
Adena,Gowers,2001-12-15,43.62
Marney,Coole,2011-01-05,29.46
Bathsheba,Luckcock,1976-01-16,82.42
Lynde,Inkle,1970-09-29,43.13
Alyse,Bernath,1992-11-19,27.43
Hallie,Romayne,2011-11-13,48.2
Krista,Wanklin,2007-08-12,11.33
Lazar,Boler,2017-03-31,10.02
Jeannine,Stean,1973-05-12,94.29
Florida,McKennan,2018-04-22,49.86
Ranice,Mordy,1997-10-01,97.81
Kathy,Sawday,2008-11-04,70.36
Hernando,Jorger,1990-04-12,91.95
Sol,Tibbetts,2021-12-29,99.42
Benito,Grgic,1992-03-19,66.35
Morissa,Cleynaert,1998-06-27,10.05
Wyndham,McBean,1994-12-12,35.81
Yankee,Boyles,2018-02-25,92.42
Shane,Cuel,2003-11-28,19.73
Ivy,Edghinn,1980-03-16,31.69
Laureen,Batty,1992-10-30,48.26
Christophorus,Stonehewer,1975-12-12,63.72
Mable,Cumberledge,2013-03-04,79.4
Sherwynd,Greenmon,1992-10-19,4.63
Katine,Imesen,1984-11-13,32.44
Rafaelia,Sevitt,1987-06-06,11.52
Priscilla,Darcey,1970-12-19,45.86
Griffin,Kingswood,1982-05-25,6.39
Lauralee,Girke,1998-12-16,93.67
Westbrooke,Lamperti,1978-06-25,10.08
Desi,Morison,2009-08-06,83.03
Sherrie,Brundle,2021-10-02,70.61
Josselyn,Bever,1984-11-27,85.73
Audie,Colmer,1985-04-10,24.62
Belle,Tween,2005-06-19,91.32
Juana,Twizell,1972-03-06,78.78
Birk,Ethridge,2004-08-16,62.12
Tracey,Dron,2020-09-09,70.38
Corbett,Ringwood,2019-07-24,64.95
Joshia,Castane,1980-11-25,57.9
Lindon,Ricardo,1999-01-11,67.23
Buiron,Grigorescu,1993-04-26,91.54
Reynard,Catcheside,1971-12-02,21.14
Addi,Waterworth,1991-03-25,20.11
Andonis,Sucre,1998-11-03,23.81
Ronna,August,2014-09-17,57.02
Angelo,Berford,2018-11-24,93.92
Rosco,Exer,2009-01-09,2.71
Bethina,Guerner,2000-07-10,50.21
Brady,Ducker,1972-07-08,37.69
Leticia,Rosendale,1981-11-19,27.07
Mace,Keaveney,1990-08-13,33.66
Willow,Brehaut,2002-08-03,43.23
Julie,Brownsell,1993-12-08,66.72
Joye,Fabler,2004-11-12,21.57
York,Camillo,1973-09-24,2.96
Bronny,Tapner,1976-05-03,89.78
Catharine,Canadine,1982-10-19,90.56
Bonnee,Bassett,2012-04-14,60.1
Inesita,Queree,1984-06-28,59.12
Felicia,Margetson,1991-01-05,77.3
Sybilla,Houlridge,1996-10-09,95.86
Phillipp,Knowlman,1981-04-30,38.0
Falkner,Crookall,1972-10-15,35.15
Virgie,Costello,1976-07-20,6.29
Maxim,Paulley,2007-03-21,36.33
Lilas,Grioli,2017-12-12,64.02
Audy,Woodison,1983-04-11,81.0
Gertrude,Amphlett,1970-06-12,78.29
Axe,Lidgley,2000-08-06,12.81
Joannes,Alforde,1981-04-24,24.8
Desirae,Emilien,2006-03-23,82.76
Millisent,Rekes,1996-11-22,82.87
Noami,Mabbett,1992-06-07,6.65
Merle,Berthelet,2006-03-10,45.05
Eloise,Pryell,1972-01-30,58.32
Leodora,Bloan,2019-11-16,53.12
Cyndy,Grigorescu,2020-06-08,56.36
Sileas,Astley,1982-01-02,62.82
Eirena,Deporte,1988-03-24,32.61
Hobard,Trahmel,2006-04-20,5.26
Estrellita,MacCaffrey,2006-10-16,72.71
Lesly,Pennycook,1992-03-29,67.76
Lulu,Skeemor,2012-02-10,6.58
Ealasaid,Weed,1988-02-05,90.22
Lyle,Skelding,2013-03-29,20.4
Addia,Tummasutti,2015-11-07,7.15
Tierney,Paridge,1992-07-25,44.12
Jeremy,Zambonini,2020-02-13,12.58
Jillayne,De Leek,1987-04-30,64.26
Robena,Tootell,1978-03-11,35.47
Artair,Klaas,2015-07-23,89.87
Levon,McNerlin,1989-03-16,64.03
Ringo,Dowding,2006-11-11,48.2
Locke,Clyde,1991-04-24,55.37
Emma,Amerighi,1981-04-09,69.86
Carny,Willoughley,1971-03-30,69.32
Marietta,Storm,1982-01-09,56.78
Jean,McCoole,1979-10-30,70.7
Sofia,Dowker,1979-05-18,54.35
Cathi,Jeannenet,2020-02-15,43.34
Lindsy,Roubay,2000-10-15,7.81
Carlee,Izatt,2003-03-16,74.41
Corena,Yakubowicz,1976-10-24,47.39
Samson,Tingle,2010-05-12,66.34
Brew,Shillabear,2010-11-10,87.11
Hillie,Casine,1997-06-25,90.78
Cristabel,Dainty,1975-04-13,18.55
Marchelle,Jirka,1980-06-30,49.82
Cordi,Saer,1985-06-18,2.41
Thacher,Satteford,1971-08-19,87.79
Melonie,Klehyn,2002-08-11,89.2
Humphrey,Michiel,1987-01-31,97.54
Arlen,Dunbobin,1986-04-19,87.49
Jeralee,Uvedale,1982-06-17,24.15
Reggie,Salvador,1991-10-01,84.32
Gifford,Yeudall,2010-06-30,41.04
Oates,Boulter,1984-11-17,66.91
Kamila,Anwyl,2009-08-04,92.9
Gilli,Blenkinship,1982-06-29,22.69
Seka,Satyford,1981-02-18,82.89
Jordain,Van der Hoven,2013-01-06,1.37
Nonah,Durdan,1990-05-12,70.79
Jarred,Chable,2021-09-26,89.31
Kippy,Hundell,1972-08-30,67.12
Mauricio,Norrey,2019-03-30,24.86
Janaye,Copner,1977-08-11,36.51
Jany,Escolme,1996-12-25,17.1
Raffarty,Piatek,2002-04-19,68.87
Marcelle,Leech,2017-02-11,20.32
Emmott,Dauber,2013-12-09,64.18
Thekla,Howis,1989-04-24,70.63
Georas,Nuemann,1997-03-24,79.09
Heindrick,Hunnywell,2003-01-26,6.68
Nobe,Draycott,1998-08-26,37.28
Bartholomew,Edmeades,2011-12-02,73.22
Andreana,Trodden,2009-04-06,64.98
Suellen,Gosker,1995-10-29,5.11
Leelah,Mindenhall,2009-07-24,50.51
Padraig,Soppit,2018-05-28,13.13
Bayard,MacAindreis,2002-09-03,48.04
Morna,Severns,1973-02-06,21.15
Julina,Ivory,2019-06-08,12.72
Gauthier,Lindsey,1978-12-22,33.37
Delcina,Kempton,1997-06-21,34.33
Lonna,Wynter,2006-09-14,41.91
Alexis,Blackstone,2001-12-08,53.45
Deedee,Di Giacomo,1979-05-06,37.8
Lewie,Checcucci,1995-08-07,24.19
Staford,Cannavan,2016-01-05,83.29
Redford,Jeannon,1983-01-17,5.57
Tedman,Izen,2019-10-25,23.59
Em,Danieli,2013-04-24,81.08
Cassi,Dowling,2019-05-05,1.88
Nissa,Shorthouse,2008-06-13,1.74
Florry,Kullmann,1992-04-26,24.98
Shelba,Benesevich,2003-09-29,48.68
Germaine,Everill,2021-03-30,98.24
Mirabella,Hatley,2010-09-16,94.07
Patrizius,Pargent,1991-09-25,91.52
Tania,Storer,2017-02-21,36.92
Hobie,Degli Abbati,1987-03-02,33.03
Tove,Jaggi,1987-01-19,45.83
Jolie,Bathowe,1971-04-25,24.71
Tessi,Lascelles,1985-09-27,53.79
Angie,Celler,1991-02-02,11.55
Samson,MacMurray,1976-04-11,77.8
Alberik,Philippard,2021-07-09,89.71
Dalila,Dowker,2019-01-27,31.43
Rana,Levicount,2002-10-27,31.56
Cicely,Kertess,2021-05-30,93.0
Klarrisa,Du Plantier,1977-11-01,28.48
Lynna,Fri,2009-10-31,67.44
Kirk,Petrashov,1971-12-22,63.04
Jess,Foxon,1991-04-13,85.6
Baxter,Kasper,2016-07-19,76.25
Simone,Dilke,1987-01-13,78.75
Jerrine,Harrisson,1991-09-02,71.8
Zsazsa,Stanney,1997-04-11,16.99
Rudyard,Speaks,1972-08-16,16.06
Catharine,Jarley,2015-04-18,69.08
Kanya,Strelitz,1973-02-20,15.97
Rosana,Gissop,2006-08-01,84.03
Melinda,Sharvell,1972-04-16,59.48
Rayshell,Sweedy,2005-05-11,33.82
Redd,Coulling,1979-01-14,79.67
Ada,Bilham,1976-05-13,50.97
Frankie,Greenfield,1986-08-27,45.4
Adria,Harp,1994-09-14,20.6
Haley,MacCartney,1994-11-16,61.78
Patti,Stickings,2021-12-29,90.74
Meagan,Winsiowiecki,1970-12-07,5.28
Susy,Clara,2008-03-25,59.4
Constantina,Ionnidis,1991-06-25,19.26
Amery,Di Claudio,1999-06-12,20.91
Dalila,Raun,1992-12-30,64.52
Arturo,Cristofaro,2015-09-16,17.69
Olivette,Deinhard,2004-12-05,71.65
Arlena,Maultby,2001-11-25,98.77
Marlon,McVrone,2020-03-26,49.11
Cybill,Clampin,1989-06-30,19.34
Sheilakathryn,Gossage,2023-02-11,50.88
Patricio,Kilgannon,1989-09-21,72.02
Ethyl,Mouse,1978-07-30,12.18
Desmund,Nerney,1981-10-25,19.63
Mariana,Graham,2003-07-04,10.05
Gilbert,Garden,2015-06-02,88.86
Kip,Nolton,2018-01-02,65.67
Corabel,Turnor,1984-11-27,99.26
Chantalle,Pagin,2003-07-24,44.18
Corinne,Pardey,2001-05-13,86.59
Karrie,Tice,2015-04-14,88.47
Drake,Stockwell,1973-10-11,73.95
Timmi,Shovell,2018-02-04,11.14
Hillary,Haughton,1997-11-10,23.73
Gwynne,Glasspool,1977-09-03,35.6
Herculie,Wragg,1990-06-06,51.43
Allie,Sturton,1977-11-02,23.98
Pierrette,Mancer,2019-07-16,15.43
Heloise,Greenham,2021-07-23,67.22
Mavis,Iley,2010-07-12,94.19
Scottie,Demead,2002-06-11,69.61
Beret,Shireff,1990-07-25,88.84
Walsh,Perri,1988-10-03,51.47
Imogene,Hatliffe,1985-11-10,57.6
Loraine,Willimot,2022-01-20,5.72
Prudy,Aldred,2016-09-01,47.45
Pearla,Chate,1976-10-27,42.03
Krystalle,Kent,2020-02-15,19.79
Hakim,O'Hanley,1994-09-29,5.34
Toddie,Stirling,2008-02-17,38.35
Harcourt,Govier,1982-05-25,14.33
Jabez,Dahlberg,2017-04-23,46.23
Boot,Simek,2000-10-13,17.77
Marci,Bartosek,2006-07-12,36.53
Timofei,Cristofalo,1994-02-23,33.13
Kip,Murthwaite,2012-12-08,54.85
Vannie,Tolworthy,1972-01-31,8.9
Lamond,Tummond,2007-05-02,59.3
Grady,Wiffler,1978-09-11,95.43
Ossie,Guisot,1992-12-26,25.77
Magdalena,Kedwell,2002-12-28,32.55
Crista,Shutte,1976-03-06,60.65
Mickey,Ollenbuttel,2004-02-26,55.02
Ingrim,Thrower,2020-10-17,66.69
Trever,Clyant,2008-06-06,63.81
Willey,Axleby,1985-04-27,44.66
Janek,Aspinall,2005-05-25,43.41
Marv,Donoghue,2011-12-08,10.93
Valeda,Crowne,2009-10-29,19.62
Joelly,Bilbery,2011-02-02,48.36
Kurtis,Guinery,2004-12-16,87.07
Carolin,Marquis,1971-07-05,43.69
Cynthy,Ragbourn,2012-01-30,58.83
Julianne,Whightman,1995-10-02,55.99
Sasha,Fleury,2013-12-16,34.02
Lanae,Gavan,1994-05-23,82.59
Kiah,Machon,2014-04-02,8.26
Doy,Crocombe,2018-03-22,45.61
Wiatt,Giacovazzo,1992-11-20,73.29
Cameron,Pannaman,1979-11-18,55.05
Dennie,Wisher,1973-01-14,93.56
Mauricio,Uttridge,1991-09-16,63.33
Rhianna,Morat,1992-01-01,47.13
Rayna,Dummett,2011-07-30,67.48
Matt,Humfrey,2022-06-17,70.18
Damiano,Fivey,2011-12-11,71.28
Tilly,Harce,2016-03-18,90.6
Kilian,Oneal,2011-06-22,10.88
Nicola,Zeplin,1998-08-22,34.96
Karleen,Scherer,1990-06-28,24.49
Sandy,Cleyburn,1983-12-23,90.43
Eugenia,Benadette,2018-05-08,26.32
Cornelle,Shapero,1993-05-30,52.38
Debor,Bhatia,1988-03-01,24.41
Jerri,Bottle,1986-03-12,88.4
Rolph,Drexel,1986-03-19,43.72
Freda,Langdale,2004-04-10,91.86
Bruno,Spruce,1975-12-01,58.81
Drucill,Gane,1980-06-15,17.49
Fabio,Siccombe,2000-04-04,14.37
Ardelle,Czadla,1985-01-06,67.17
Edmund,Arling,2011-06-25,7.2
Karlis,Grayshan,2014-08-19,47.23
Maura,Ommundsen,2013-01-08,43.52
Standford,Kynvin,1997-10-21,86.52
Rafferty,Campsall,1999-01-31,45.93
Fernande,Brobyn,2001-05-25,62.01
Kirby,Sweetnam,1993-01-10,90.04
Rozanna,Willman,2020-10-01,77.82
Cissy,Vlasenko,2020-10-27,77.82
Brunhilda,Ponter,1999-08-30,81.71
Shep,Cassells,2022-04-01,1.78
Sophronia,Izhaky,1973-04-20,72.0
Chaim,Reynault,1980-11-07,1.57
Jereme,Jerrans,2008-10-06,19.57
Dagny,Gregolin,2014-07-20,22.72
Mallory,Portwain,2011-07-02,53.76
Odie,Dutchburn,1972-12-10,66.7
Catie,Cecchi,2016-12-15,61.19
Wolfy,Bampkin,1986-12-04,78.57
Pet,Cardinal,1991-10-28,50.47
Mar,Huntly,1999-06-10,72.58
Melantha,Gilardengo,1991-04-29,47.3
Blondelle,Walkington,1986-01-10,79.06
Eulalie,Maddison,2001-09-19,70.96
Anallese,Stoile,2015-01-19,5.04
Harrie,Maffione,1987-10-01,54.17
Harlan,Long,1987-05-14,75.46
Winston,Falla,2003-10-01,47.08
Nisse,Pach,1997-09-15,1.3
Vassily,Binley,2005-09-24,88.46
Hedi,Coggell,1972-12-23,41.5
Guinevere,Simenel,2020-10-12,9.38
Mathe,Hendriksen,1975-11-20,98.49
Desiree,Dicks,2019-12-15,96.86
Liv,Francescozzi,2003-12-30,28.57
Elyssa,Coade,2017-08-14,15.18
Eadie,Danks,1991-12-10,97.0
Adriaens,Peirazzi,1998-05-24,40.88
Marlin,Ailward,1990-12-16,92.49
Lawton,Tilling,1990-09-15,16.99
Jeannette,Hedgecock,1981-04-29,62.9
Sayres,Cadamy,2003-06-18,10.41
Zora,Tillyer,1993-12-16,69.76
Elfreda,McAirt,1999-04-17,26.81
Jo-anne,Goranov,1973-03-26,55.61
Elianore,O' Faherty,2011-07-31,17.48
Traci,Fiorentino,1994-07-31,51.73
Merrile,Circuitt,1998-02-19,70.04
Marvin,Furley,1980-09-01,64.93
Rustie,Balcock,2016-07-28,86.15
Stacey,Darnborough,1991-08-14,23.53
Linoel,Calendar,2012-07-06,42.1
Sianna,Domnin,1998-05-04,16.64
Maisie,Waudby,1982-01-29,59.12
Francois,Spelman,1974-11-10,56.21
Wyndham,Oboy,1999-06-16,38.85
Desdemona,Saphir,1993-05-03,31.34
Kermy,Hullin,1987-07-27,31.69
Kordula,Clifton,1989-11-01,19.43
Christiano,Le Gassick,1974-10-09,38.7
Merrie,Brame,2014-02-08,33.73
Lynnelle,Carney,1990-12-29,63.08
Carlyn,Eglinton,1996-10-11,67.8
Ibbie,Ridel,2021-09-13,20.54
Flin,Shortall,2000-05-21,7.95
Kacy,Vondrak,2012-08-21,7.7
Jone,Gerriessen,1972-10-24,94.37
Kaile,Rootham,2007-12-15,75.7
Adria,Reihm,1979-07-08,62.13
Millicent,Mapholm,1997-02-02,92.29
Jae,Monshall,2006-07-28,72.8
Adaline,Valasek,1971-03-08,15.75
Clark,Mence,1996-09-29,10.24
Hillie,Jobe,1989-09-19,95.02
Salem,Slaight,1996-03-04,43.88
Karlik,Pearce,2007-07-03,74.72
Wit,Lawfull,2001-07-09,82.18
Yuma,Stonhouse,2000-02-26,86.41
Pauly,Derry,2016-08-03,69.16
Uta,Yearsley,1979-02-17,38.56
Tabby,Boorman,2008-11-27,8.25
Earlie,Marsh,1989-11-28,34.58
Kane,Gerssam,2021-01-14,76.46
Etti,Bannester,1971-11-01,42.95
Ashley,Audibert,1995-03-11,64.91
Dollie,Langthorne,1971-04-24,29.17
Ashla,Rhyme,1990-10-28,24.1
Terza,Braim,1976-04-02,61.77
Mil,Roark,1985-11-19,43.09
Nita,Janaway,2016-12-26,20.57
Chad,Zecchi,2012-01-23,57.36
Helyn,Axten,1985-09-27,31.59
Jobyna,Beagin,2005-10-24,64.4
Fletch,Petrillo,1995-03-24,23.78
Elizabet,Malthus,2007-04-21,58.89
Erin,Steinhammer,1989-02-09,19.92
Quintin,Lawranson,1990-09-08,73.12
Austine,Olesen,2022-09-11,76.78
Jarret,Woolvett,1976-11-23,76.17
Marie-ann,Fardy,1998-09-26,61.02
Rikki,Ovendon,1981-10-05,50.03
Ainslie,McKag,1983-05-28,2.26
Walker,McHan,2008-01-20,91.53
Raymund,Grossier,1987-02-22,97.67
Brooke,Wicher,2002-01-29,29.69
Ulric,Peres,1984-12-26,71.84
Rinaldo,Klimkiewich,2006-12-25,46.2
Salvidor,Biaggelli,2020-02-14,96.31
Jessi,Jickells,1981-09-08,88.01
Alvinia,Olman,1999-11-19,30.23
Moore,Henrion,2010-03-12,59.96
Padraic,Britian,2014-01-23,67.97
Lynea,Ducket,1996-08-31,97.45
Ogdon,O'Lagene,2003-05-10,51.9
Bancroft,Crellin,2010-04-01,31.55
Phaidra,Stiffell,1982-04-30,81.17
Maddy,Clappison,1989-05-15,56.6
Andreas,Hogbourne,1987-05-08,20.16
Ashleigh,Atwell,1986-12-23,36.2
Siana,Tuffield,1974-08-09,6.15
Holt,Hryncewicz,2011-01-01,72.2
Carlos,Po,2018-08-10,48.03
Goran,Halbeard,1972-01-15,42.08
Nerti,Scane,1975-02-21,91.36
Florette,Flory,2009-12-25,79.59
Janos,Iltchev,1995-06-20,74.71
Cassaundra,Greystock,2023-02-26,91.79
Cassie,Shellibeer,1984-07-08,45.9
Bailie,De Bruijn,1990-11-06,65.3
Kip,Niemetz,2020-07-04,35.52
Dian,Hrachovec,2011-03-17,13.97
Isis,Sawer,2016-11-01,81.88
Jordan,Hannis,2018-09-26,36.49
Jana,Courtney,1999-04-19,65.2
Kaitlyn,McLay,2016-01-07,59.6
Rosaleen,Vennard,2013-09-29,94.18
Sophie,Kingswoode,2011-12-12,90.86
Edvard,Handscombe,2004-03-13,1.52
Marcos,Gilliland,1983-03-01,89.34
Meghann,Beaman,1988-02-22,62.39
Arney,Aujouanet,1974-09-09,48.23
Cody,Sommerlie,2006-02-06,60.86
Gibbie,Goodreid,2019-09-17,39.45
Maximilien,Cluitt,1970-05-07,62.85
Patti,Oxenham,1985-06-23,77.96
Peg,Western,1976-09-15,59.19
Nelie,Samson,2011-03-04,94.5
Aylmer,Cornwall,1989-03-15,14.93
Valera,Ebdon,2014-04-10,94.61
Malena,Piwall,2012-10-12,20.15
Taylor,Children,2009-03-21,96.1
Arnaldo,Hedworth,1970-11-14,21.92
Ilise,Hundy,1980-06-06,53.25
Roslyn,Campagne,2021-11-29,9.69
Cristy,Cossons,1990-08-20,82.59
Gelya,Darlasson,1984-01-11,62.12
Yuma,Mintoff,1982-02-24,39.5
Carl,Reddish,1979-03-03,31.87
Renaldo,Bonifacio,1999-11-14,56.77
Frederique,Linacre,1996-06-09,40.81
Pinchas,Choffin,2013-04-11,49.5
Mikey,Barnby,2022-02-11,79.78
Charin,Dauby,2018-09-22,75.69
Cory,Dumper,1985-02-28,56.09
Wallie,Dovidian,2011-11-16,90.39
Elberta,Pyner,1995-03-31,53.27
Worth,Swatridge,2023-02-05,13.95
Anny,Dargan,1995-08-22,19.17
Charline,Havers,1978-03-01,80.3
Holli,Lambertson,2001-03-02,66.35
Donna,Bough,2005-01-23,41.9
Ardella,Becconsall,1975-07-17,74.89
Josiah,McDarmid,2004-12-22,26.91
Lettie,Swindley,2021-10-19,56.3
Woody,Horstead,2009-04-03,26.35
Dimitry,Pfaff,1989-11-13,96.72
Cora,Brumen,2009-09-06,93.7
Piper,Maciaszczyk,1977-08-27,18.94
Filmore,Freeman,1982-03-05,35.5
Godfree,Symes,2008-05-29,16.18
Cordula,Pressnell,1994-08-06,84.34
Veradis,Beidebeke,1983-03-13,9.39
Katine,Maker,1971-10-15,61.74
Vaclav,Varnes,2016-09-14,81.68
Julie,Bowra,1998-06-10,17.04
Claudius,Bessey,2003-06-22,87.76
